,Portfolio Returns,Portfolio Standard Deviation,Sharpe Ratio,Balanced Weights
31,0.166828675651224,0.17550841686355448,0.9505451569363857,"[0.07220624 0.15087375 0.17584785 0.11863268 0.21569337 0.15437868
 0.06413053 0.01827062 0.0299663 ]"
32,0.148716477380388,0.14357096339472286,1.0358395170165327,"[0.032498   0.13071489 0.07242963 0.140752   0.175499   0.11178312
 0.14300803 0.11530772 0.0780076 ]"
33,0.18559536094966844,0.1837768332610175,1.0098953043013212,"[0.00980068 0.11552783 0.10587829 0.23720547 0.13759605 0.03222067
 0.05825129 0.20972567 0.09379405]"
34,0.19596947117006738,0.15625680778992407,1.2541499723553429,"[0.03027921 0.20104816 0.17634579 0.06525009 0.1629579  0.11261891
 0.14418276 0.01726453 0.09005266]"
35,0.1848225077830575,0.14095732345761974,1.3111947875388417,"[0.00490209 0.02107195 0.01548541 0.19837796 0.02953554 0.29226024
 0.28473231 0.14384268 0.00979183]"
36,0.11739955749931635,0.14245951537854562,0.8240906701623998,"[0.06669815 0.04216717 0.04658126 0.14142339 0.14766939 0.20872227
 0.15897681 0.13987339 0.04788816]"
37,0.14158210493156204,0.12262948709469222,1.15455188051333,"[0.00959717 0.11688822 0.00934449 0.07012885 0.0530197  0.18142106
 0.18895963 0.21236419 0.15827669]"
38,0.06057956059830366,0.19382298345602061,0.31255096541246596,"[0.17141971 0.18424034 0.10148285 0.02380612 0.06688054 0.10443453
 0.17273091 0.07456733 0.10043767]"
39,0.13237259066432658,0.16464019036051614,0.8040114043507086,"[0.08412674 0.07977545 0.11746739 0.15661507 0.15378401 0.16044243
 0.08265658 0.05319166 0.11194066]"
40,0.1435218540431225,0.18702710005330628,0.767385336147628,"[0.11445497 0.2261092  0.1216333  0.1054933  0.04367812 0.20045016
 0.11629179 0.0043549  0.06753426]"
41,0.020583559409527222,0.19171873063177736,0.10736331990983619,"[0.18998091 0.0437007  0.06813616 0.03165267 0.00739584 0.16070712
 0.11753026 0.18432511 0.19657124]"
42,0.1967730555314093,0.19060857319960625,1.0323410549081,"[0.0559387  0.11280664 0.19386788 0.16036926 0.14365418 0.15536482
 0.03628683 0.12395913 0.01775256]"
43,0.06504832046285287,0.1819362784026205,0.3575335333555771,"[0.13581913 0.19759563 0.06970098 0.08984021 0.14373367 0.04257549
 0.10943214 0.09646758 0.11483516]"
44,0.09073541168279785,0.16299389719146645,0.5566798097735668,"[0.10703441 0.15957155 0.03329909 0.11209079 0.05258439 0.17068583
 0.09426443 0.12725808 0.14321142]"
45,-0.04932717877230223,0.2585992183075382,-0.19074759427014223,"[0.26877682 0.00548281 0.03529065 0.19119861 0.13217171 0.06809234
 0.10627958 0.09627198 0.0964355 ]"
46,0.08926527096585353,0.12597266929339612,0.7086082359495822,"[0.05309353 0.11703978 0.02882938 0.05998425 0.23475348 0.16432665
 0.04005798 0.1513481  0.15056685]"
47,0.19741312168244735,0.18636198760667308,1.0592992928316383,"[0.0467545  0.2113676  0.16862519 0.14121042 0.16518744 0.14643415
 0.02416567 0.08368426 0.01257077]"
